

Neighborhood,Suburb,Location,Tornadoes,Safe Rating
,Richardson,,4,F
,,North,,B
Canyon,,,,
Cottonwood Creek South,Richardson,North,4,B
Heights Park,Richardson,North,1,B
Canyon Creek South,Richardson,North,1,A
Copell,Suburb of Dallas,North West,6,A
Timberbrook,Plano,North East,1,A
University Park,Suburb of Dallas,Central,4,B
Preston Highands,Suburb of Dallas,Far North,10,A
Canyon Creek North,Richardson,North,2,A
Greenwood Hills,Richardson,North East,1,A
Irving,Dallas,North West,7,A
Denton,Dallas,Far North West,5,A
Murphy,Suburb of Dallas,Far North East,3,B
Trophy Club,Suburb of Fort Worth,Far North West,9,A
Sunnyvale,Suburb of Dallas,East,10,A
Lantana,Suburb of Dallas,Far North West,0,A
Double Oak,Suburb of Dallas,Far North West,0,A
Arlington,Dallas,Far West,12,C
Southlake,Forth Worth,North,5,B
Frisco,Suburb of Dallas,Far North, 9,B
Douglass,Plano,Far North,7,A
Deep Ellum,Dallas,Central North,1,C
Arapaho,Richardson,North,2,B
Prestonwood,Dallas,North,1,B
Flower Mound,Suburb of Dallas,North West,5,B
Highland Village,Suburb of Dallas,North West,1,B
Colleyvile,Forth Worth,North West,3,B
Greenland Hills,Dallas,Central North,0,B
McKinney,Dallas,Far North,8,B
